,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Year
92,Poonjar,93,GEN,Pathanamthitta,P C George (PLATHOTTAM),Kerala Congress Secular,"1,24,825",93750,75.1 %,"7,637",8.1%,2006
93,Pala ,94,GEN,Kottayam,K M Mani,Kerala Congress(M),"1,28,184",90453,70.6 %,"7,759",8.6%,2006
94,Kaduthuruthy,95,GEN,Kottayam,Adv. Mons Joseph,Kerala Congress,"1,31,824",93063,70.6 %,"2,001",2.2%,2006
95,Vaikom,96,SC,Kottayam,K Ajith,Communist Party Of India,"1,38,949","1,01,066",72.7 %,"8,781",8.7%,2006
96,Aroor,97,GEN,Alappuzha,Adv. A.M.Ariff,Communist Party Of India (Marxist),"1,50,164","1,17,514",78.3 %,"4,753",4.0%,2006
97,Cherthala,98,GEN,Alappuzha,P.Thilothaman,Communist Party Of India,"1,35,676","1,07,900",79.5 %,"8,534",7.9%,2006
98,Mararikulam,99,GEN,Alappuzha,Dr.Thomas Issac,Communist Party Of India (Marxist),"1,78,438","1,41,456",79.3 %,"17,679",12.5%,2006
99,Alappuzha,100,GEN,Alappuzha,K.C.Venugopal,Indian National Congress,"1,14,192",84871,74.3 %,"16,933",20.0%,2006
100,Ambalapuzha,101,GEN,Alappuzha,G.Sudhakaran,Communist Party Of India (Marxist),"1,28,577",93953,73.1 %,"11,929",12.7%,2006
101,Kuttanad,102,GEN,Alappuzha,Thomas Chandy,Democratic Indira Congress (Karunakaran),"1,11,058",83476,75.2 %,"5,381",6.4%,2006
102,Haripad,103,GEN,Alappuzha,Adv.B.Babuprasad,Indian National Congress,"1,44,188","1,10,075",76.3 %,"1,886",1.7%,2006
103,Kayamkulam,104,GEN,Alappuzha,C K Sadasivan,Communist Party Of India (Marxist),"1,29,524",99833,77.1 %,"5,832",5.8%,2006
104,Thiruvalla,105,GEN,Pathanamthitta,Mathew T Thomas,Janata Dal (Secular),"1,10,867",71137,64.2 %,"8,922",12.5%,2006
105,Kallooppara,106,GEN,Pathanamthitta,Joseph M Puthusseri,Kerala Congress(M),"1,12,932",71871,63.6 %,"7,488",10.4%,2006
106,Aranmula,107,GEN,Pathanamthitta,K.C Rajagopalan,Communist Party Of India (Marxist),"1,12,086",69794,62.3 %,"14,620",20.9%,2006
107,Chengannur,108,GEN,Alappuzha,P.C.Vishnunath,Indian National Congress,"1,21,105",87139,72.0 %,"5,132",5.9%,2006
108,Mavelikara,109,GEN,Alappuzha,M.Murali,Indian National Congress,"1,31,267",97505,74.3 %,"2,672",2.7%,2006
109,Pandalam,110,SC,Pathanamthitta,K.K.Shaju,Janadhipathiya Samrekshna Samiti,"1,44,463","1,11,413",77.1 %,"1,305",1.2%,2006
110,Ranni,111,GEN,Pathanamthitta,Raju Abraham,Communist Party Of India (Marxist),"1,19,189",89091,74.7 %,"14,971",16.8%,2006
111,Pathanamthitta,112,GEN,Pathanamthitta,Adv. K Sivadasan Nair,Indian National Congress,"1,21,979",81238,66.6 %,"1,225",1.5%,2006
112,Konni,113,GEN,Pathanamthitta,Adoor Prakash,Indian National Congress,"1,28,760",93985,73.0 %,"14,895",15.8%,2006
113,Pathanapuram,114,GEN,Kollam,K.B.Ganesh Kumar,Kerala Congress (B),"1,44,025","1,03,883",72.1 %,"11,814",11.4%,2006
114,Punalur,115,GEN,Kollam,Adv.K.Raju,Communist Party Of India,"1,58,123","1,13,437",71.7 %,"7,925",7.0%,2006
115,Chadayamangalam,116,GEN,Kollam,Mullakkara Rathnakaran,Communist Party Of India,"1,34,953",94773,70.2 %,"4,653",4.9%,2006
116,Kottarakkara,117,GEN,Kollam,Adv. Aisha Potti,Communist Party Of India (Marxist),"1,35,841",98156,72.3 %,"12,087",12.3%,2006
117,Neduvathur,118,SC,Kollam,B. Raghavan,Communist Party Of India (Marxist),"1,38,696",98879,71.3 %,"1,155",1.2%,2006
118,Adoor,119,GEN,Pathanamthitta,Thiruvanchoor Radhakrishnan,Indian National Congress,"1,28,472",94107,73.3 %,"18,464",19.6%,2006
119,Kunnathur,120,SC,Kollam,Kovoor Kunjumon,Revolutionary Socialist Party,"1,62,149","1,14,875",70.8 %,"22,573",19.7%,2006
120,Karunagappally,121,GEN,Kollam,C.Divakaran,Communist Party Of India,"1,39,839","1,02,259",73.1 %,"12,496",12.2%,2006
121,Chavara,122,GEN,Kollam,N K Premachandran,Revolutionary Socialist Party,"1,42,401","1,10,501",77.6 %,"1,786",1.6%,2006
122,Kundara,123,GEN,Kollam,M.A. Baby,Communist Party Of India (Marxist),"1,29,453",91501,70.7 %,"14,869",16.3%,2006
123,Kollam,124,GEN,Kollam,P.K.Gurudasan,Communist Party Of India (Marxist),"1,25,888",81725,64.9 %,"11,439",14.0%,2006
124,Eravipuram,125,GEN,Kollam,A.A. Azeez,Revolutionary Socialist Party,"1,77,809","1,15,358",64.9 %,"24,049",20.8%,2006
125,Chathannur,126,GEN,Kollam,N Anirudhan,Communist Party Of India,"1,60,650","1,04,547",65.1 %,"23,180",22.2%,2006
126,Varkala,127,GEN,Thiruvananthapuram,Varkala Kahar,Indian National Congress,"1,27,337",92023,72.3 %,"1,625",1.8%,2006
127,Attingal,128,GEN,Thiruvananthapuram,Anathalavattom Anandan,Communist Party Of India (Marxist),"1,18,939",79842,67.1 %,"11,208",14.0%,2006
128,Kilimanoor,129,SC,Thiruvananthapuram,N Rajan,Communist Party Of India,"1,56,986",90436,57.6 %,"21,497",23.8%,2006
129,Vamanapuram,130,GEN,Thiruvananthapuram,J Arundhathi,Communist Party Of India (Marxist),"1,45,921",96803,66.3 %,"6,509",6.7%,2006
130,Ariyanad,131,GEN,Thiruvananthapuram,G Karthikeyan Aryanad,Indian National Congress,"1,32,567",89027,67.2 %,"2,198",2.5%,2006
131,Nedumangad,132,GEN,Thiruvananthapuram,Mankode Radhakrishnan,Communist Party Of India,"1,71,173","1,22,766",71.7 %,85,0.1%,2006
132,Kazhakkoottam,133,GEN,Thiruvananthapuram,M A Vahid,Indian National Congress,"1,63,999","1,09,450",66.7 %,215,0.2%,2006
133,Trivandrum North,134,GEN,Thiruvananthapuram,M Vijayakumar,Communist Party Of India (Marxist),"1,94,130","1,18,889",61.2 %,"9,724",8.2%,2006
134,Trivandrum West,135,GEN,Thiruvananthapuram,V Surendran Pillai,Kerala Congress,"1,39,835",71814,51.4 %,"13,233",18.4%,2006
135,Trivandrum East,136,GEN,Thiruvananthapuram,V Sivankutty,Communist Party Of India (Marxist),"1,35,171",80517,59.6 %,"2,276",2.8%,2006
136,Nemom,137,GEN,Thiruvananthapuram,N Sakthan,Indian National Congress,"1,80,034","1,20,017",66.7 %,"10,749",9.0%,2006
137,Kovalam,138,GEN,Thiruvananthapuram,Adv George Mercier,Indian National Congress,"1,68,386","1,06,369",63.2 %,"10,825",10.2%,2006
138,Neyyattinkara,139,GEN,Thiruvananthapuram,V J Thankappan,Communist Party Of India (Marxist),"1,61,090","1,06,438",66.1 %,746,0.7%,2006
139,Parassala,140,GEN,Thiruvananthapuram,R Selvaraj,Communist Party Of India (Marxist),"1,58,092",97860,61.9 %,"4,407",4.5%,2006
